가구번호,시도,주택층수,거주층수,주택방향,건축년도,침실(방수),거실수,욕실수,주택소유형태,현주택 거주년수,주 난방방식,주 난방연료,보조 난방방식(택1),보조 난방방식(택2),냉방방식,에어컨 설정 온도,주 취사연료,경제활동 가구원수,65세 이상 노인수,가구주성별,가구주교육정도,가구주직업,가구특성1,가구특성2,연간에너지소비량계,연간일반전력소비량,연간심야전력소비량,연간도시가스소비량,연간석유소비량계,연간프로판소비량,자가용 총 보유대수,연간지역난방소비량,연간연탄소비량,주난방시설,가중치,최종가중치,도시규모,주택형태,주택면적,가구원수,가구원구성,가구주연령대,가구 월평균소득
37058057,37,2,1,6,5,2,1,1,,10,1,1,,1,1,,3,1,1,2,1,3,1,,10669.9623,3355.305,0,0,0,78,0,0,1521,1,1902.567,466.7322087,3,2,2,2,2,5,1
37058058,37,1,1,3,1,3,1,1,,12,1,2,,1,1,,3,1,1,1,1,3,2,,11386.0178,3302.23,0,0,890,60,0,0,0,2,6625.739444,12525.31217,3,1,2,1,1,5,1
37058059,37,1,1,3,4,3,1,1,,9,1,2,,1,1,,3,0,2,2,1,5,1,,10620.7799,3378.465,0,0,790,64,0,0,0,2,6625.739444,4410.945881,3,1,2,2,2,5,1
37058060,37,18,9,6,5,3,1,1,,6,1,5,,1,3,23,4,2,0,1,3,1,1,,10693.56469,3496.195,0,736.993,0,0,1,0,0,3,5585.196714,2396.872285,3,3,3,4,3,2,2
37058061,37,18,7,6,4,3,1,1,,6,1,5,,1,3,26,4,2,0,1,3,1,1,,9424.24466,3335.04,0,628.582,0,0,1,0,0,3,5585.196714,2396.872285,3,3,3,4,3,3,2
37058063,37,1,1,5,1,1,0,1,,7,1,2,,1,1,,3,0,1,1,1,5,6,,7359.5717,3747.095,0,0,398,53,0,0,0,2,6625.739444,4410.945881,3,1,1,2,5,3,1
37058064,37,4,3,3,2,3,1,1,,6,1,5,,1,3,26,4,1,0,2,3,1,1,,7923.74069,3078.35,0,505.883,0,0,0,0,0,3,1902.567,6214.428614,3,2,3,1,1,2,1
37058065,37,4,3,5,2,3,1,1,,17,1,5,,1,3,26,4,2,0,1,2,1,1,,2770.2062,3221.17,0,0,0,0,0,0,0,3,1902.567,2020.29966,3,2,2,3,3,4,2
37058066,37,1,1,3,1,3,1,1,,2,1,2,,1,1,,3,3,3,1,1,3,1,,6976.4087,3197.045,0,0,400,59,0,0,0,2,6625.739444,2076.766896,3,1,3,4,5,5,2
37058067,37,2,1,3,6,3,1,2,,5,1,2,,1,3,23,3,1,0,1,2,3,2,,12963.8926,6343.91,0,0,702,111,1,0,0,2,6625.739444,12525.31217,3,1,3,1,1,5,1
37058068,37,1,1,3,3,2,1,1,,11,1,1,,1,1,,3,2,2,1,1,3,1,,15111.1785,4067.475,0,0,0,63,0,0,2412,1,6625.739444,2295.207331,3,1,2,2,2,5,1
37058069,37,15,14,3,3,2,0,1,,11,1,5,,1,3,24,4,1,0,2,2,1,3,6,12602.8902,3375.57,0,930,0,0,0,0,0,3,5585.196714,5090.833231,3,3,2,2,5,3,1
37058070,37,1,1,3,3,3,1,1,,21,1,2,,1,3,26,3,1,1,1,1,1,1,,10621.6134,3537.69,0,0,780,60,1,0,0,2,6625.739444,4410.945881,3,1,3,2,2,5,1
38059001,38,12,4,5,3,3,1,1,,6,1,5,,1,1,,4,0,1,2,1,5,2,,7945.573866,2948.976317,0,518.6437424,0,0,0,0,0,3,6296.775,22260.80545,3,3,3,1,1,5,1
38059002,38,12,5,5,3,3,1,1,,7,1,5,,1,3,23,4,0,1,2,1,5,2,,8045.170098,3127.195428,0,513.4977977,0,0,0,0,0,3,6296.775,22260.80545,3,3,3,1,1,5,1
38059003,38,12,4,5,3,3,1,1,,4,1,5,,1,3,23,4,0,0,1,2,5,1,,9971.129864,2962.253721,0,711.7537549,0,0,1,0,0,3,6296.775,7839.422024,3,3,3,2,2,5,2
38059020,38,21,10,7,4,3,1,2,,10,1,5,,1,3,25,4,2,0,1,3,1,1,,11358.61645,3586.905,0,793.2769082,0,0,1,0,0,3,6296.775,3690.966198,3,3,4,4,3,3,3
38059021,38,22,12,7,4,3,1,2,,5,1,5,,1,3,26,4,1,0,1,3,1,1,,11456.5812,3538.655,0,806.6479286,0,0,1,0,0,3,6296.775,7236.948154,3,3,3,3,3,3,2
38059023,38,21,4,7,4,3,1,2,,3,1,5,,1,3,25,4,1,1,1,2,3,1,,8494.033481,3630.33,0,515.0479081,0,0,1,0,0,3,6296.775,7839.422024,3,3,4,2,2,5,2
38059024,38,21,16,7,4,3,1,2,,4,1,5,,1,3,26,4,2,0,1,3,1,1,,11382.94716,3316.705,0,817.8888653,0,0,1,0,0,3,6296.775,3690.966198,3,3,4,4,3,2,3
38059025,38,21,6,7,4,3,1,2,,14,1,5,,1,3,23,4,1,1,2,2,3,1,,13839.6857,3418.995,0,1045,0,0,2,0,0,3,6296.775,7839.422024,3,3,4,2,5,5,2
38059027,38,21,10,7,4,3,1,2,,6,1,5,,1,3,25,4,2,1,1,1,3,1,,9355.338452,3634.19,0,597.3092092,0,0,0,0,0,3,6296.775,7236.948154,3,3,4,3,3,5,2
38059028,38,21,3,7,4,3,1,2,,6,1,5,,1,3,24,4,2,0,1,2,3,1,,12555.18611,3280.035,0,933.3035481,0,0,1,0,0,3,6296.775,3690.966198,3,3,4,4,3,4,2
38059029,38,15,15,3,4,3,1,1,,6,1,5,,1,3,24,4,1,0,1,2,3,1,,12111.7364,3556.025,0,868.0301916,0,0,1,0,0,3,6296.775,7236.948154,3,3,3,3,3,4,2
38059030,38,15,15,3,4,3,1,1,,4,1,5,,1,1,,4,1,0,1,3,1,1,,11757.6351,3427.68,0,844.6625409,0,0,1,0,0,3,6296.775,7236.948154,3,3,3,3,3,3,2
38059031,38,15,12,3,4,3,1,1,,20,1,5,,1,3,20,4,1,0,1,3,1,1,,9386.9969,3310.915,0,627,0,0,1,0,0,3,6296.775,22260.80545,3,3,3,1,1,2,2
38059032,38,15,12,3,4,3,1,1,,3,1,5,,1,3,25,4,2,0,1,2,1,1,,12259.03377,3498.125,0,886.9267756,0,0,1,0,0,3,6296.775,3690.966198,3,3,3,4,3,4,3
38059033,38,15,12,3,4,3,1,1,,7,1,5,,1,3,24,4,1,0,1,3,1,1,,11941.63928,3470.14,0,858.803344,0,0,1,0,0,3,6296.775,7236.948154,3,3,3,3,3,3,2
38059034,38,15,7,3,4,3,1,1,,22,1,5,,1,1,,4,2,0,1,2,3,1,,10631.85025,3503.915,0,730.4394395,0,0,1,0,0,3,6296.775,7236.948154,3,3,3,3,3,4,2
38059036,38,15,2,3,4,3,1,1,,3,1,5,,1,3,24,4,2,0,1,3,1,1,,11073.34417,3412.24,0,780.3276866,0,0,1,0,0,3,6296.775,7236.948154,3,3,3,3,3,4,3
